Ext_ID,Name,ccai_qa__AI_Agent__r:Name,_Sequence,_Is_Active,_Description
CRM-INT-001,crm_greeting,Salesforce CRM Agent,1,true,"Trigger when user sends a greeting or opening message — hi hello hey good morning good afternoon or starts conversation with no clear action request"
CRM-INT-002,account_at_risk,Salesforce CRM Agent,2,true,"Trigger when user mentions an account is at risk unhappy likely to churn or in danger of cancelling — at risk might churn losing this account they're unhappy customer might leave account in trouble"
CRM-INT-003,user_frustrated_urgent,Salesforce CRM Agent,3,true,"Trigger when user expresses frustration urgency or distress about a customer issue — this is urgent customer is furious nothing is working I need help immediately critical issue major problem"
CRM-INT-004,crm_out_of_scope,Salesforce CRM Agent,10,true,"Trigger when user asks for something this agent cannot do — deleting records running reports modifying dashboards changing Salesforce settings bulk imports or completely unrelated topics"
OPP-INT-001,deal_closed_won,Update Opportunity Stage CloseDate,1,true,"Trigger when an opportunity has been moved to Closed Won or user celebrates a deal win — deal is closed won we closed it just won the deal great news we got the deal"
OPP-INT-002,deal_closed_lost,Update Opportunity Stage CloseDate,2,true,"Trigger when an opportunity has been moved to Closed Lost or user reports losing a deal — deal closed lost we lost it not going to win competitor won lost the deal unfortunately lost"
OPP-INT-003,deal_stalled,Update Opportunity Stage CloseDate,3,true,"Trigger when user says a deal is not moving no progress stuck in the same stage for a while — deal stalled not progressing hasn't moved no progress same stage for weeks stuck deal going nowhere"
OPP-INT-004,stages_clarification,Update Opportunity Stage CloseDate,4,true,"Trigger when user asks what stages are available or what stage to pick — what stages are there what stage should I use what are my options for stage list the stages"
OPP-INT-005,close_date_overdue,Update Opportunity Stage CloseDate,5,true,"Trigger when user mentions a close date is in the past overdue or missed — close date passed date is in the past overdue missed the close date should have closed already"
OPP-INT-006,opportunity_not_found,Update Opportunity Stage CloseDate,6,true,"Trigger when user says they cannot find an opportunity or the agent returns no results — can't find it doesn't exist not showing up opportunity not found can't locate the deal no match found"
CPQ-INT-001,cpq_greeting,CPQ Agent,1,true,"Trigger when user sends a first greeting or opening message to the CPQ agent — hi hello hey good morning or starts with no clear quote or product action request"
CPQ-INT-002,cpq_out_of_scope,CPQ Agent,2,true,"Trigger when user asks CPQ agent for something outside its scope — case management account updates contacts reports dashboards anything not related to quotes pricebooks opportunities or quote lines"
CPQ-INT-003,quote_expired_or_expiring,CPQ Agent,3,true,"Trigger when user mentions a quote is expired or about to expire — quote expired expiration date passed needs to be renewed quote is no longer valid the quote ran out"
CPQ-INT-004,discount_requested,CPQ Agent,4,true,"Trigger when customer or rep requests a discount on a quote or quote line — need a discount can we reduce the price price too high discount request wants percent off lower the price"
CPQ-INT-005,quote_approval_needed,CPQ Agent,5,true,"Trigger when a quote needs manager or executive approval before sending or finalising — needs approval waiting for approval manager needs to approve quote approval required get this approved"
CPQ-INT-006,bundle_product_help,CPQ Agent,6,true,"Trigger when user is confused about bundle products option lines or child quote lines — what is a bundle how do I add options bundle line required by parent product bundle confused about bundles"
CPQ-INT-007,cpq_delete_warning,CPQ Agent,7,true,"Trigger when user wants to delete a quote or quote line — delete this quote remove quote delete line item remove product from quote want to delete wipe the quote"
DOC-INT-001,doc_greeting,Document Intelligence Agent,1,true,"Trigger when user sends a first greeting or opening message — hi hello hey good morning or starts with no specific document search request"
DOC-INT-002,upload_or_edit_request,Document Intelligence Agent,2,true,"Trigger when user wants to upload edit create modify or delete a document — upload a file add a document edit this file change the document delete it modify the attachment"
DOC-INT-003,search_tips,Document Intelligence Agent,3,true,"Trigger when user is unable to find a document or asks for tips on how to search — I can't find it how do I search what should I type for document search tips how to find files"
DOC-INT-004,document_not_found,Document Intelligence Agent,4,true,"Trigger when document search returns no results or user confirms the file is missing — no results found document missing can't locate the file not in the system doesn't exist"
