Ext_ID,Intent_Ext_ID,ccai_qa__AI_Agent_Intent__r:Name,_Seq,_Action_Type,_Language,_Canned_Response_Text,_Object_API_Name,_Flow_API_Name,_Apex_Class_Name,_Apex_Return_Type
CRM-INT-001-ACT-001,CRM-INT-001,crm_greeting,1,Canned Response,English,"Hello! I'm your Salesforce CRM Assistant. I can help you search accounts and contacts, create and update cases, manage opportunities and quotes, and add products to deals. What would you like to do today?",,,,
CRM-INT-001-ACT-002,CRM-INT-001,crm_greeting,2,Canned Response,Spanish,"¡Hola! Soy tu Asistente CRM de Salesforce. Puedo ayudarte a buscar cuentas, gestionar casos y oportunidades, crear contactos y manejar cotizaciones. ¿En qué puedo ayudarte hoy?",,,,
CRM-INT-002-ACT-001,CRM-INT-002,account_at_risk,1,Update Field,,,Account,,,
CRM-INT-002-ACT-002,CRM-INT-002,account_at_risk,2,Create Record,,,Task,,,
CRM-INT-002-ACT-003,CRM-INT-002,account_at_risk,3,Canned Response,English,"I've flagged this account as at-risk in the description and created a high-priority follow-up task. I recommend scheduling a retention call and reviewing any open cases for this account. Would you like me to pull up their current cases or opportunities?",,,,
CRM-INT-003-ACT-001,CRM-INT-003,user_frustrated_urgent,1,Create Record,,,Case,,,
CRM-INT-003-ACT-002,CRM-INT-003,user_frustrated_urgent,2,Canned Response,English,"I understand this is urgent. I've automatically created a High-priority support case based on your message. A team member will follow up shortly. To proceed, can you share the Account name or Case ID so I can pull up the relevant records for you?",,,,
CRM-INT-004-ACT-001,CRM-INT-004,crm_out_of_scope,1,Canned Response,English,"That's outside my current capabilities. I specialise in searching accounts, contacts, and cases; creating and updating cases, contacts, opportunities, and quotes; and answering GPTfy configuration questions. For reports, dashboards, bulk data, or Salesforce setup changes, please use Salesforce directly or contact your admin.",,,,
OPP-INT-001-ACT-001,OPP-INT-001,deal_closed_won,1,Canned Response,English,"Congratulations on closing the deal! I've noted this win. As a next step, I'd recommend scheduling an onboarding kickoff with the customer and logging any handoff notes. Would you like me to create a follow-up task for the onboarding team?",,,,
OPP-INT-001-ACT-002,OPP-INT-001,deal_closed_won,2,Create Record,,,Task,,,
OPP-INT-002-ACT-001,OPP-INT-002,deal_closed_lost,1,Canned Response,English,"I'm sorry to hear about this loss. I've created a loss analysis task to capture the reasons. Understanding why deals are lost helps improve future win rates. Would you like to document the primary loss reason now? Common reasons include: Price, Competition, No Decision, Timing.",,,,
OPP-INT-002-ACT-002,OPP-INT-002,deal_closed_lost,2,Create Record,,,Task,,,
OPP-INT-003-ACT-001,OPP-INT-003,deal_stalled,1,Update Field,,,Opportunity,,,
OPP-INT-003-ACT-002,OPP-INT-003,deal_stalled,2,Create Record,,,Task,,,
OPP-INT-003-ACT-003,OPP-INT-003,deal_stalled,3,Canned Response,English,"I've noted the stall on this opportunity and created a re-engagement task. Deals stall most often due to unclear next steps, budget freeze, or internal champion changes. Would you like me to update the close date to reflect a more realistic timeline?",,,,
OPP-INT-004-ACT-001,OPP-INT-004,stages_clarification,1,Canned Response,English,"Here are the available opportunity stages in order: 1. Prospecting → 2. Qualification → 3. Needs Analysis → 4. Value Proposition → 5. Id. Decision Makers → 6. Perception Analysis → 7. Proposal/Price Quote → 8. Negotiation/Review → 9. Closed Won / Closed Lost. Just tell me the stage name and the opportunity name to update.",,,,
OPP-INT-005-ACT-001,OPP-INT-005,close_date_overdue,1,Update Field,,,Opportunity,,,
OPP-INT-005-ACT-002,OPP-INT-005,close_date_overdue,2,Canned Response,English,"It looks like the close date on this opportunity may be in the past. An overdue close date affects forecast accuracy. Please provide the updated close date and I'll correct it right away. What should the new close date be? (format: YYYY-MM-DD)",,,,
OPP-INT-006-ACT-001,OPP-INT-006,opportunity_not_found,1,Canned Response,English,"I couldn't find an opportunity matching that name. Please try: (1) Check the spelling — partial matches are supported; (2) Provide the full opportunity name or the Opportunity ID (starts with 006); (3) Search by account name using a separate find operation. Would you like to search by account instead?",,,,
CPQ-INT-001-ACT-001,CPQ-INT-001,cpq_greeting,1,Canned Response,English,"Hello! I'm your CPQ Agent. I can help you with: looking up pricebooks and products, creating and managing Salesforce CPQ Quotes, adding and updating quote line items (including bundles), and managing CPQ Opportunities. What would you like to do today?",,,,
CPQ-INT-002-ACT-001,CPQ-INT-002,cpq_out_of_scope,1,Canned Response,English,"That's outside my CPQ capabilities. I specialise in pricebook lookups, CPQ Opportunities, SBQQ Quotes, and Quote Line items including bundles. For cases, contacts, standard opportunities, or account management, please use the Salesforce CRM Agent. For other requests, please contact your Salesforce admin.",,,,
CPQ-INT-003-ACT-001,CPQ-INT-003,quote_expired_or_expiring,1,Canned Response,English,"It looks like this quote may have expired or is about to expire. To extend it, please update the expiration date using: update_SBQQ_Quote with the quote name or ID and the new expiration date. Would you like me to update the expiration date now? If so, please provide the quote name and the new date.",,,,
CPQ-INT-004-ACT-001,CPQ-INT-004,discount_requested,1,Canned Response,English,"Discount requests on quotes typically require manager approval depending on the discount percentage. I've created a task for your manager to review. To apply the discount once approved, use update_SBQQ_QuoteLine with the quoteLineId and the new unitPrice or discount field. Would you like me to help apply it once you have approval?",,,,
CPQ-INT-004-ACT-002,CPQ-INT-004,discount_requested,2,Create Record,,,Task,,,
CPQ-INT-005-ACT-001,CPQ-INT-005,quote_approval_needed,1,Canned Response,English,"This quote requires approval before it can be sent to the customer. I've created an approval task for the appropriate manager. Once approved, you can finalise and send the quote. Would you like me to check the current quote status or update any fields before sending for approval?",,,,
CPQ-INT-005-ACT-002,CPQ-INT-005,quote_approval_needed,2,Create Record,,,Task,,,
CPQ-INT-006-ACT-001,CPQ-INT-006,bundle_product_help,1,Canned Response,English,"Bundle products in CPQ have a parent quote line and one or more child option lines. To add a bundle: (1) Add the parent product as a quote line — get the quoteLineId from the response; (2) Add each option/child product using create_SBQQ_QuoteLine with requiredByQuoteLineId set to the parent quoteLineId. Would you like to start adding a bundle now?",,,,
CPQ-INT-007-ACT-001,CPQ-INT-007,cpq_delete_warning,1,Canned Response,English,"You're about to delete a quote or quote line — this action cannot be undone. Please confirm: (1) Quote name or ID you want to delete, and (2) Confirm by typing 'DELETE CONFIRM'. Note that deleting a quote also removes all its quote line items. If you just want to remove a single line, use delete_SBQQ_QuoteLine with the specific quoteLineId instead.",,,,
DOC-INT-001-ACT-001,DOC-INT-001,doc_greeting,1,Canned Response,English,"Hello! I'm the Document Intelligence Agent. I can help you find and locate Salesforce Files and documents by name. Just tell me the document name (or partial name) and optionally the record it's attached to, and I'll search for it. What document are you looking for today?",,,,
DOC-INT-002-ACT-001,DOC-INT-002,upload_or_edit_request,1,Canned Response,English,"I'm sorry, but I can only search for and identify existing documents — I'm unable to upload, edit, modify, create, or delete files. To manage documents, please go directly to the Files section in Salesforce or use the Attachments/Files component on the specific record. Is there a document you'd like me to search for instead?",,,,
DOC-INT-003-ACT-001,DOC-INT-003,search_tips,1,Canned Response,English,"Here are some tips for finding documents: (1) Use partial names — searching 'contract' will find 'Master Contract 2026.pdf'; (2) Try different keywords from the file title; (3) If you know the record it's attached to (Account, Opportunity, Case), mention it so I can narrow the search; (4) Check if the file might be stored under a slightly different name. What document are you looking for?",,,,
DOC-INT-004-ACT-001,DOC-INT-004,document_not_found,1,Canned Response,English,"I wasn't able to find a document matching that name. The file might be stored under a different name, not yet uploaded, or attached to a different record. I've created a support case to help locate or request the document. Would you like to try searching with a different keyword, or can you confirm the exact file name?",,,,
DOC-INT-004-ACT-002,DOC-INT-004,document_not_found,2,Create Record,,,Case,,,
DOC-INT-005-ACT-001,DOC-INT-005,sensitive_document_concern,1,Update Field,,,Account,,,
DOC-INT-005-ACT-002,DOC-INT-005,sensitive_document_concern,2,Canned Response,English,"I've noted the sensitivity flag on this account. Sensitive and confidential documents should be stored with appropriate sharing settings and restricted visibility. Please ensure the document sharing settings are set to 'Private' or 'Internal Only' in Salesforce Files. Would you like guidance on how to restrict document access for a specific file?",,,,
DOC-INT-006-ACT-001,DOC-INT-006,no_document_name_given,1,Canned Response,English,"To search for documents, I need at least a partial file name or document type to look for. For example: 'contract', 'proposal', 'SLA', 'Q1 report'. Could you tell me the name or type of document you're looking for? Optionally, you can also tell me which account or record it's attached to.",,,,
PIPE-INT-001-ACT-001,PIPE-INT-001,pipeline_forecast_overview,1,Canned Response,English,"I'll pull up your pipeline overview now. By default I show opportunities with 70% or higher probability. Would you like to adjust the threshold? Common options: 70%+ (strong pipeline), 90%+ (high-confidence deals), or all open opportunities. Just let me know your preferred filter and I'll run the search.",,,,
PIPE-INT-002-ACT-001,PIPE-INT-002,pipeline_hygiene_check,1,Canned Response,English,"Pipeline hygiene is key to forecast accuracy. I'll look for opportunities that may need attention — deals with close dates in the past, stale stages, or low probability. After the search, I'll highlight any records that need updating. Would you like to start with opportunities below 70% probability or focus on overdue close dates first?",,,,
PIPE-INT-003-ACT-001,PIPE-INT-003,probability_explanation,1,Canned Response,English,"Probability in Salesforce represents the likelihood of closing a deal, expressed as a percentage. Salesforce automatically sets a default probability based on the opportunity stage (e.g., Prospecting = 10%, Closed Won = 100%). You can also manually override it. Ranges: 90-100% = highly likely, 70-89% = strong pipeline, below 70% = needs nurturing. Would you like me to find opportunities in a specific probability range?",,,,
PIPE-INT-004-ACT-001,PIPE-INT-004,must_win_deal_flag,1,Update Field,,,Opportunity,,,
PIPE-INT-004-ACT-002,PIPE-INT-004,must_win_deal_flag,2,Create Record,,,Task,,,
PIPE-INT-004-ACT-003,PIPE-INT-004,must_win_deal_flag,3,Canned Response,English,"I've flagged this as a must-win deal on the opportunity record and created an executive attention task. Must-win deals should get daily attention — I recommend scheduling a stakeholder call, reviewing any blockers, and confirming next steps with the decision maker. Would you like me to pull up the full deal details now?",,,,
PIPE-INT-005-ACT-001,PIPE-INT-005,pipeline_gap_identified,1,Create Record,,,Task,,,
PIPE-INT-005-ACT-002,PIPE-INT-005,pipeline_gap_identified,2,Canned Response,English,"Your high-probability pipeline appears to be thin or empty right now. This is an important signal for your forecast. I've created a pipeline review task. Recommended actions: (1) Review deals below 70% that could be accelerated; (2) Consider prospecting activities to build top-of-funnel; (3) Check if any deals can be moved forward. Would you like to see all open opportunities regardless of probability?",,,,
PIPE-INT-006-ACT-001,PIPE-INT-006,quarter_close_urgency,1,Canned Response,English,"With quarter-end approaching, let's focus on your highest-probability deals. I'll search for opportunities closing this quarter with 70%+ probability so you can prioritise your close activities. Which quarter-end date should I target? (e.g., 2026-03-31 for Q1). I'll then show you the deals that need attention before that date.",,,,
